,  scienceid  , allusers  ,  day_id   ,
, 1352000012  , 4435      , 20230101  ,
, 1352000014  , 0         , 20230101  ,
, 1352000015  , 10933     , 20230101  ,
, 1352000016  , 108       , 20230101  ,
, 1352000017  , 0         , 20230101  ,
, 1359000023  , 370       , 20230101  ,
, 1359000028  , 6693      , 20230101  ,
, 1349000011  , 0         , 20230101  ,
, 1349000014  , 33097     , 20230101  ,
, 1349000015  , 0         , 20230101  ,
, 1355000011  , 0         , 20230101  ,
, 1355000012  , 5179      , 20230101  ,
, 1355000013  , 1327      , 20230101  ,
, 1355000014  , 0         , 20230101  ,
, 1355000028  , 0         , 20230101  ,
, 1358000013  , 0         , 20230101  ,
, 1358000015  , 0         , 20230101  ,
, 1358000016  , 582       , 20230101  ,
, 1358000017  , 747       , 20230101  ,
, 1357000011  , 0         , 20230101  ,
, 1357000012  , 5262      , 20230101  ,
, 1357000013  , 0         , 20230101  ,
, 1357000014  , 2637      , 20230101  ,
, 1357000015  , 0         , 20230101  ,
, 1357000017  , 0         , 20230101  ,
, 1351000017  , 1560      , 20230101  ,
, 1351000019  , 37242     , 20230101  ,
, 1351000020  , 0         , 20230101  ,
, 1351000026  , 2336      , 20230101  ,
, 1351000027  , 0         , 20230101  ,
, 1351000029  , 466       , 20230101  ,
, 1354000011  , 215       , 20230101  ,
, 1354000012  , 508       , 20230101  ,
, 1354000015  , 3455      , 20230101  ,
, 1354000016  , 49533     , 20230101  ,
, 1351000030  , 0         , 20230101  ,
, 1354000023  , 3095      , 20230101  ,
, 1354000024  , 1089      , 20230101  ,
, 1354000025  , 342       , 20230101  ,
, 1356000012  , 1534      , 20230101  ,
, 1356000015  , 3269      , 20230101  ,
, 1356000018  , 180       , 20230101  ,
, 1350000011  , 137312    , 20230101  ,
, 1351010012  , 2397      , 20230101  ,
, 1350000014  , 203       , 20230101  ,
, 1350000015  , 5503      , 20230101  ,
, 1350000017  , 57596     , 20230101  ,
, 1350000019  , 1042      , 20230101  ,
, 1356000026  , 1888      , 20230101  ,
, 1359000011  , 2457      , 20230101  ,
, 1359000014  , 852       , 20230101  ,
, 1359000016  , 2166      , 20230101  ,
, 1359000017  , 242       , 20230101  ,
, 1359000018  , 63        , 20230101  ,
, 1353000011  , 126       , 20230101  ,
, 1353000012  , 0         , 20230101  ,
, 1353000013  , 325       , 20230101  ,
, 1356000037  , 0         , 20230101  ,
, 1352000011  , 17450     , 20230101  ,
, 1352000012  , 1342      , 20230102  ,
, 1352000014  , 0         , 20230102  ,
, 1352000015  , 616       , 20230102  ,
, 1352000016  , 150       , 20230102  ,
, 1352000017  , 0         , 20230102  ,
, 1359000023  , 366       , 20230102  ,
, 1359000028  , 1554      , 20230102  ,
, 1349000011  , 0         , 20230102  ,
, 1349000014  , 42222     , 20230102  ,
, 1349000015  , 0         , 20230102  ,
, 1355000011  , 0         , 20230102  ,
, 1355000012  , 1900      , 20230102  ,
, 1355000013  , 752       , 20230102  ,
, 1355000014  , 0         , 20230102  ,
, 1355000028  , 0         , 20230102  ,
, 1358000013  , 0         , 20230102  ,
, 1358000015  , 0         , 20230102  ,
, 1358000016  , 128       , 20230102  ,
, 1358000017  , 1632      , 20230102  ,
, 1357000011  , 0         , 20230102  ,
, 1357000012  , 2264      , 20230102  ,
, 1357000013  , 0         , 20230102  ,
, 1357000014  , 590       , 20230102  ,
, 1357000015  , 0         , 20230102  ,
, 1357000017  , 0         , 20230102  ,
, 1351000017  , 822       , 20230102  ,
, 1351000019  , 290       , 20230102  ,
, 1351000020  , 0         , 20230102  ,
, 1351000026  , 2382      , 20230102  ,
, 1351000027  , 0         , 20230102  ,
, 1351000029  , 240       , 20230102  ,
, 1354000011  , 98        , 20230102  ,
, 1354000012  , 344       , 20230102  ,
, 1354000015  , 324       , 20230102  ,
, 1354000016  , 1542      , 20230102  ,
, 1351000030  , 0         , 20230102  ,
, 1354000023  , 2048      , 20230102  ,
, 1354000024  , 612       , 20230102  ,
, 1354000025  , 0         , 20230102  ,
, 1356000012  , 1726      , 20230102  ,
, 1356000015  , 1078      , 20230102  ,
, 1356000018  , 116       , 20230102  ,
, 1350000011  , 21698     , 20230102  ,
, 1351010012  , 2760      , 20230102  ,
, 1350000014  , 176       , 20230102  ,
, 1350000015  , 5726      , 20230102  ,
, 1350000017  , 43730     , 20230102  ,
, 1350000019  , 876       , 20230102  ,
, 1356000026  , 2770      , 20230102  ,
, 1359000011  , 608       , 20230102  ,
, 1359000014  , 492       , 20230102  ,
, 1359000016  , 1278      , 20230102  ,
, 1359000017  , 232       , 20230102  ,
, 1359000018  , 476       , 20230102  ,
, 1353000011  , 58        , 20230102  ,
, 1353000012  , 0         , 20230102  ,
, 1353000013  , 1638      , 20230102  ,
, 1356000037  , 0         , 20230102  ,
, 1352000011  , 480       , 20230102  ,
, 1352000012  , 1107      , 20230103  ,
, 1352000014  , 0         , 20230103  ,
, 1352000015  , 10766     , 20230103  ,
, 1352000016  , 106       , 20230103  ,
, 1352000017  , 0         , 20230103  ,
, 1359000023  , 134       , 20230103  ,
, 1359000028  , 3331      , 20230103  ,
, 1349000011  , 0         , 20230103  ,
, 1349000014  , 33123     , 20230103  ,
, 1349000015  , 0         , 20230103  ,
, 1355000011  , 0         , 20230103  ,
, 1355000012  , 2950      , 20230103  ,
, 1355000013  , 510       , 20230103  ,
, 1355000014  , 0         , 20230103  ,
, 1355000028  , 0         , 20230103  ,
, 1358000013  , 0         , 20230103  ,
, 1358000015  , 0         , 20230103  ,
, 1358000016  , 399       , 20230103  ,
, 1358000017  , 573       , 20230103  ,
, 1357000011  , 0         , 20230103  ,
, 1357000012  , 4459      , 20230103  ,
, 1357000013  , 0         , 20230103  ,
, 1357000014  , 2802      , 20230103  ,
, 1357000015  , 0         , 20230103  ,
, 1357000017  , 0         , 20230103  ,
, 1351000017  , 1396      , 20230103  ,
, 1351000019  , 33145     , 20230103  ,
, 1351000020  , 2         , 20230103  ,
, 1351000026  , 1872      , 20230103  ,
, 1351000027  , 0         , 20230103  ,
, 1351000029  , 280       , 20230103  ,
, 1354000011  , 96        , 20230103  ,
, 1354000012  , 399       , 20230103  ,
, 1354000015  , 1738      , 20230103  ,
, 1354000016  , 46279     , 20230103  ,
, 1351000030  , 0         , 20230103  ,
, 1354000023  , 1920      , 20230103  ,
, 1354000024  , 832       , 20230103  ,
, 1354000025  , 257       , 20230103  ,
, 1356000012  , 1504      , 20230103  ,
, 1356000015  , 1617      , 20230103  ,
, 1356000018  , 175       , 20230103  ,
, 1350000011  , 100425    , 20230103  ,
, 1351010012  , 1424      , 20230103  ,
, 1350000014  , 210       , 20230103  ,
, 1350000015  , 5341      , 20230103  ,
, 1350000017  , 34984     , 20230103  ,
, 1350000019  , 530       , 20230103  ,
, 1356000026  , 1872      , 20230103  ,
, 1359000011  , 1374      , 20230103  ,
, 1359000014  , 800       , 20230103  ,
, 1359000016  , 2063      , 20230103  ,
, 1359000017  , 250       , 20230103  ,
, 1359000018  , 60        , 20230103  ,
, 1353000011  , 41        , 20230103  ,
, 1353000012  , 0         , 20230103  ,
, 1353000013  , 264       , 20230103  ,
, 1356000037  , 0         , 20230103  ,
, 1352000011  , 9400      , 20230103  ,
, 1352000012  , 1153      , 20230104  ,
, 1352000014  , 0         , 20230104  ,
, 1352000015  , 10800     , 20230104  ,
, 1352000016  , 112       , 20230104  ,
, 1352000017  , 0         , 20230104  ,
, 1359000023  , 86        , 20230104  ,
, 1359000028  , 3012      , 20230104  ,
, 1349000011  , 0         , 20230104  ,
, 1349000014  , 32950     , 20230104  ,
, 1349000015  , 0         , 20230104  ,
, 1355000011  , 0         , 20230104  ,
, 1355000012  , 2704      , 20230104  ,
, 1355000013  , 545       , 20230104  ,
, 1355000014  , 0         , 20230104  ,
, 1355000028  , 0         , 20230104  ,
, 1358000013  , 0         , 20230104  ,
, 1358000015  , 0         , 20230104  ,
, 1358000016  , 535       , 20230104  ,
, 1358000017  , 600       , 20230104  ,
, 1357000011  , 0         , 20230104  ,
, 1357000012  , 4885      , 20230104  ,
, 1357000013  , 0         , 20230104  ,
, 1357000014  , 2825      , 20230104  ,
